model,benchmark,images,map50,map50_95,map75,AP50_Bicycle,AP50_Bus,AP50_Car,AP50_Motor,AP50_Psn.,AP50_Rider,AP50_Truck
cityscapes-21-ema,bdd-daytime-clear,1764,0.44368618726730347,0.22635801136493683,0.20677876472473145,0.34467923987060345,0.3526883525662778,0.7208031146891629,0.3753290517760977,0.5804274496591387,0.4117844522703261,0.3200916970607421
cityscapes-21-ema,foggy-cityscapes,500,0.5556617379188538,0.31810611486434937,0.31527766585350037,0.5601913028420166,0.574264267361147,0.7274012591532848,0.44555293670555723,0.5598041647494106,0.6158335466848438,0.40658463806778
cityscapes-21-ema,rainy-cityscapes,396,0.6307955980300903,0.38039064407348633,0.3715102970600128,0.546374090346231,0.9092129571850297,0.8231925221107191,0.39443337644424004,0.5351407231346771,0.747403548338751,0.4598119300828409
realdrivesim-21-ema-validation,cityscapes,500,0.4345931112766266,0.23073963820934296,0.21191653609275818,0.39764048215097975,0.5077981572413455,0.586652178727678,0.3289193266946466,0.4691272753739973,0.5674285697946809,0.18458575516482764
realdrivesim-21-ema-validation,bdd-daytime-all,5258,0.308767169713974,0.14579692482948303,0.11873117089271545,0.23154123507127503,0.2092036180578843,0.5177517256582034,0.2317632145588042,0.3928170902186315,0.36426117786998785,0.2140320699227505
